Verb,Präposition,Kasus
abhängen,von,D
achten,auf,A
ändern,an,D
anfangen,mit,D
sich ängstigen,vor,D
ankommen,auf,A
anpassen,an,A
antworten,auf,A
sich ärgern,über,A
aufhören,mit,D
aufpassen,auf,A
sich aufregen,über,A
ausdrücken,mit,D
sich austauschen,mit,D
sich austauschen,über,A
sich bedanken,bei,D
sich bedanken,für,A
sich begeistern,für,A
beitragen,zu,D
berichten,über,A
berichten,von,D
sich beschäftigen,mit,D
sich beschweren,bei,D
sich beschweren,über,A
bestehen,aus,D
sich bewerben,bei,D
sich bewerben,um,A
sich beziehen,auf,A
bitten,um,A
danken,für,A
denken,an,A
diskutieren,mit,D
diskutieren,über,A
sich eignen,zu,D
sich eignen,für,A
eingehen,auf,A
einladen,zu,D
sich engagieren,für,A
sich entscheiden,gegen,A
sich entscheiden,für,A
sich entschließen,zu,D
sich entschuldigen,bei,D
sich entschuldigen,für,A
sich erholen,von,D
sich erinnern,an,A
sich erkundigen,nach,D
sich erkundigen,bei,D
erwarten,von,D
erzählen,von,D
fragen,nach,D
sich freuen,auf,A
sich freuen,über,A
führen,zu,D
gehören,zu,D
sich gewöhnen,an,A
glauben,an,A
gratulieren,zu,D
halten,an,A
(sich) halten,für,A
handeln,von,D
sich handeln,um,A
helfen,bei,D
hinweisen,auf,A
hoffen,auf,A
sich informieren,bei,D
sich informieren,über,A
sich interessieren,für,A
investieren,in,A
kämpfen,gegen,A
kämpfen,für,A
sich konzentrieren,auf,A
sich kümmern,um,A
lachen,über,A
leiden,unter,D
leiden,an,D
liegen,an,D
nachdenken,über,A
protestieren,gegen,A
reagieren,auf,A
reden,mit,D
reden,von,D
reden,über,A
reden,über,A
reden,von,D
schmecken,nach,D
siegen,über,A
sorgen,für,A
sich sorgen,um,A
sich spezialisieren,auf,A
sprechen,mit,D
sprechen,von,D
sprechen,über,A
stehen,für,A
(sich) streiten,um,A
(sich) streiten,mit,D
(sich) streiten,über,A
suchen,nach,D
teilnehmen,an,D
tendieren,zu,D
sich treffen,mit,D
sich trennen,von,D
(sich) überzeugen,von,D
sich unterhalten,mit,D
sich unterhalten,über,A
sich unterscheiden,von,D
sich unterscheiden,nach,D
sich verabreden,mit,D
sich verabschieden,von,D
verbinden,mit,D
vergleichen,mit,D
sich verlassen,auf,A
sich verlieben,in,A
verstehen,von,D
sich verstehen,mit,D
vertrauen,auf,A
verzichten,auf,A
sich vorbereiten,auf,A
warnen,vor,D
warten,auf,A
werben,für,A
wirken,auf,A
sich wundern,über,A
zählen,zu,D
zweifeln,an,D
